chant_type,mode,incipit,page
offertorium,2,Dextera Domini (sine alleluia),267
offertorium,8,Diffusa est gratia,421
offertorium,6,"Domine, ad adiuvandum me",94
offertorium,6,"Domine, convertere",283
offertorium,6,"Domine Deus, in simplicitate",401
offertorium,8,"Domine, Deus salutis meae",87
offertorium,3,"Domine, exaudi orationem meam",156
offertorium,4,"Domine, fac mecum",104
offertorium,2,Domine Iesu Christe,674
offertorium,6,"Domine, in auxilium",331
offertorium,3,"Domine, vivifica me",359
offertorium,8,Elegerunt Apostoli,634
offertorium,8,Emitte Spiritum tuum,250
offertorium,7,Eripe me Deus,129
offertorium,3,Eripe me Domine,1550
offertorium,6,Erit vobis,213
offertorium,2,Exalabo te,313
offertorium,8,"Exaudi, Deus, orationem meam",100
offertorium,5,Exspectans exspectavi,328
offertorium,3,Exsulta satis,28
offertorium,4,Exsultabunt sancti,466
offertorium,4,Factus est Dominus,119
offertorium,1,Felix namque es,422
offertorium,3,Filiae regum,505
offertorium,1,Gloria et honore,434
offertorium,6,Gloriabuntur,467
offertorium,8,Gressus meos,365
offertorium,4,Illumina oculos meos,290
offertorium,8,Immittet angelus,325
offertorium,8,Improperium exspectavit,386
offertorium,8,Improperium et dederunt,148
offertorium,1,In die sollemnitatis,210
offertorium,2,In omnem terram,435
offertorium,2,In te speravi,322
offertorium,6,In virtute tua,512
offertorium,5,Intende voci,280
offertorium,4,Intonuit de caelo,204
offertorium,8,Inveni David,447
offertorium,5,Iubilate Deo omnis terra,259
offertorium,1,Iubilate Deo universa terra,227
offertorium,4,Iustitiae Domini,309
offertorium,1,Iustorum animae,468
offertorium,4,Iustus ut palma,497
offertorium,1,Laetamini (sine alleluia),468
offertorium,1,Laetamini (cum alleluia),443
offertorium,4,Laetentur caeli,44
offertorium,4,"Lauda, anima mea",221
offertorium,2,Laudate Dominum,110
offertorium,8,Levabo oculos meos,78
offertorium,2,Meditabor (sine alleluia),356
offertorium,2,Meditabor (cum alleluia),245
offertorium,3,Mihi autem nimis,435
offertorium,8,Mirabilis Deus,469
offertorium,8,Miserere mihi,92
offertorium,8,Oraio ma,513
offertorium,4,Oravi Deum meum,334
offertorium,4,Perfice gressus meos,273
offertorium,5,Populum humilem,302
offertorium,8,Poras caeli,207
offertorium,4,Postula a me,390
offertorium,8,Posuisti,482
offertorium,8,Precatus est Moyses,317
offertorium,2,"Protege, Domine",599
offertorium,1,Recordare mei,352
offertorium,1,"Recordare, Virgo Mater",422
offertorium,5,Reges Tharsis,58
offertorium,1,Repleti sumus,441
offertorium,5,Sanctificavit,338
offertorium,8,Scapuis sus,76
offertorium,8,Si ambulavero,341
offertorium,5,Sicut in holocausto,299
