chant_type,mode,incipit,page
graduale,3,"Tues, Deus",275
graduale,1,Unampetii,358
graduale,1,Universi qui te exspectant,16
graduale,2,Uxortua,646
graduale,5,"Venite,filii",298
graduale,5,Viderunt omnes,48
alleluia,3,Adducentur,500
alleluia,4,Amaviteun,495
alleluia,8,Angelus Domini,200
alleluia,4,Ascendit Deus,236
alleluia,2,"Ave, Maria",412
alleluia,1,Beatus vir qui suffert,501
alleluia,5,Beatus vir quitimet,1511
alleluia,4,Benedicite Domino,612
alleluia,8,"Benedictus es, Domine",375
alleluia,2,Benedictus qui venit,59
alleluia,7,Candor est lucis eterne,585
alleluia,1,Cantate Domino,330
alleluia,1,Christus resurgens,226
alleluia,3,Cognoverunt discipuli,220
alleluia,7,Confitebuntur celi,478
alleluia,2,Confitemini et invocate,340
alleluia,4,Constitueseos,429
alleluia,2,Corpora sanctorum,459
alleluia,8,Crastinadie,39
alleluia,1,De quacumque tribulatione —,558
alleluia,8,"Deus, iudex iustus",286
alleluia,8,Dicite ingentibus,212
alleluia,2,Diessanctificatus,49
alleluia,8,Diffusa est gratia,413
alleluia,1,Dilexit Andream,625
alleluia,8,Dispersit,521
alleluia,2,Disposui testamentum,489
alleluia,1,"Domine, Deus meus",282
alleluia,3,"Domine, Deus salutis mez",317
alleluia,2,"Domine, dilexi",400
alleluia,7,"Domine, exaudi",334
alleluia,6,"Domine, in virtute tua",292
alleluia,7,"Domine, refugium",321
alleluia,8,Dominus dixit ad me,43
alleluia,8,Dominus in Sina,236
alleluia,2,"Dominus regnavit, decorem —",46
alleluia,8,"Dominus regnavit, exsultet",266
alleluia,8,Duleeligaum,598
alleluia,1,Dum complerentur,250
alleluia,1,Ego sum pastor bonus,223
alleluia,1,Egovoselegi,429
alleluia,4,Emitte Spiritum tuum,253
alleluia,4,"Excita, Domine",23
alleluia,7,ExiviaPatre,230
alleluia,7,Exsultaboet letabor,656
alleluia,7,Exsultate Deo,312
alleluia,8,Facnosinnocuaam,1558
alleluia,4,Fecisti viriliter,866
alleluia,8,"Felixes,sacra Virgo",414
alleluia,1,Franciscus pauper,613
alleluia,1,Fulgebunt iusti,460
alleluia,4,"Gaudete, iusti",430
alleluia,8,Haecdies,214
alleluia,8,Hac est vera fraternitas,460
alleluia,4,Hzcest virgo sapiens,500
alleluia,2,Hicestdiscipulus,637
alleluia,2,Hicestsacerdos,449
alleluia,7,Indie resurrectionis,216
alleluia,3,"In te, Domine, speravi",296
alleluia,2,Inveni David,446
alleluia,3,Iubiate Deo,258
alleluia,1,lIuravit Dominus,489
alleluia,1,lustorum animg,462
alleluia,1,Iustus germinabit,496
alleluia,2,Iustus non conturbabitur,479
alleluia,1,lustusut palma,516
alleluia,7,Latabituriustus,479
alleluia,8,"Lauda,anima mea",355
alleluia,4,"Lauda, Ierusalem",358
alleluia,4,Laudate Deum,262
alleluia,2,Laudate Dominum,273
alleluia,4,"Laudate, pueri",215
alleluia,7,Levita Laurentius,1588
alleluia,2,Loquear,1528
alleluia,7,Magnus Dominus,302
alleluia,2,Magnus sanctus Paulus,537
alleluia,5,"Memento, Domine, David",490
alleluia,1,Mirabilis Dominus,462
alleluia,8,Mittat vobis,646
alleluia,8,Nimis honorati sunt,431
alleluia,1,Non vos rdinquam,242
alleluia,4,Oquampulchra,500
alleluia,4,Oportebat,220
alleluia,8,Ostendenobis,16
alleluia,3,Paratum cor meum,344
alleluia,7,Pascha nostrum,197
alleluia,7,Postdiesocto,217
