chant_type,mode,incipit,page
offertorium,3,Constitues eos,434
offertorium,1,Custodi me . I,54
offertorium,2,De profundis,
offertorium,6,Desiderium anima: eius,
offertorium,2,"Deus, Deus meus",224
offertorium,8,Deus enim firmavit,46
offertorium,3,"Deus, tu convertens",20
offertorium,2,Dextera Domini ( cum alle- luia),194
offertorium,2,Dextera Domini (sine alle- luia),267
offertorium,8,Diffusa est gratia,421
offertorium,6,"Domine, ad adiuvandum me",94
offertorium,6,"Domine, convertere",283
offertorium,6,"Domine Deus, in simplicitate",401
offertorium,8,"Domine, Deus salutis mere",87
offertorium,3,"Domine, exaudi orationem meam",156
offertorium,4,"Domine, fac mecum",104
offertorium,2,Domine Iesu Christe,674
offertorium,6,"Domine, in auxilium",331
offertorium,3,"Domine, vivifica me",359
offertorium,8,Elegerunt Apostoli,634
offertorium,8,Emine Spiritum tuum,250
offertorium,7,Eripe me ... Deus,129
offertorium,3,Eripe me ... Domine ISI,
offertorium,6,Erit vobis,213
offertorium,2,Exaltabo te,313
offertorium,8,"Exaudi, Deus, orationem meam",100
offertorium,5,Exspectans exspectavi,328
offertorium,3,Exsulta satis,28
offertorium,4,Exsultabunt sancti,466
offertorium,4,Factus est Dominus,119
offertorium,1,Felix namque es,422
offertorium,3,Filia: regum,5
offertorium,1,Gloria et honore,434
offertorium,6,Gloriabuntur,467
offertorium,8,Gressus meos,365
offertorium,4,Illumina oculos moos,290
offertorium,8,Immittet angelus,325
offertorium,8,Improperium exspectavit,386
offertorium,8,Improperium ... et dederunt,148
offertorium,1,In die sollemnitatis,210
offertorium,2,In omnem terram,435
offertorium,2,In te speravi,322
offertorium,6,In virtute tua,5
offertorium,5,Intende voci,280
offertorium,4,Intonuit de ca:lo,204
offertorium,8,Inveni David,447
offertorium,5,Iubilate Deo omnis terra,259
offertorium,1,Iubilate Deo universa terra,227
offertorium,4,Iustitia: Domini,309
offertorium,1,ustorum anima:,468
offertorium,4,Iustus ut palma,497
offertorium,1,La:tamini (sine alleluia),468
offertorium,1,La:tamini ( cum alleluia),443
offertorium,4,La:tentur ca:li,44
offertorium,4,"Lauda, anima mea",221
offertorium,2,Laudate Dominum,110
offertorium,8,Levabo oculos meos,78
offertorium,2,Meditabor (sine alleluia),356
offertorium,2,Meditabor ( cum alleluia),245
offertorium,3,Mihi autem nimis,435
offertorium,8,Mirabilis Deus,469
offertorium,8,Miserere mihi,9
offertorium,8,Oratio mea,5
offertorium,4,Oravi Deum meum,334
offertorium,4,Perfice gressus meos,273
offertorium,5,Populum humilem,302
offertorium,8,Panas ca:li,207
offertorium,4,Pastula a me,390
offertorium,8,Posuisti,482
offertorium,8,Precatus est Moyses,317
offertorium,2,"Protege, Domine",599
offertorium,,Recordare mei,352
offertorium,,"Recordare, Virgo Mater",422
offertorium,5,Reges Tharsis,5
offertorium,1,Repleti sumus,441
offertorium,5,Sanctificavit,338
offertorium,8,Scapulis suis,76
offertorium,,Si ambulavero,341
offertorium,,Sicut in holocausto,299
offertorium,3,Sperent in te,286
offertorium,1,Stetit angelus,610
offertorium,1,Super flumina,345
offertorium,4,Terra tremuit,199
offertorium,2,Tollite portas,40
offertorium,4,Tui sunt ca:li,4
offertorium,2,Veritas mea,483
offertorium,2,Vir erat,349
offertorium,1,Viri Galila:i,237
communio,4,Ab occultis meis,113
communio,4,Acceptabis,309
communio,5,Adversum me I,54
communio,6,Alleluia ( ter),195
communio,1,Amen dico vobis : Quidquid,368
communio,4,Amen dico vobis: Quod uni,7
communio,1,Amen dico vobis : Quod vos,436
communio,2,Aufer a me,353
communio,1,Beata viscera,423
communio,6,Beatam me dicent,592
communio,1,Beati mundo corde,5
communio,3,Beatus servus,4
communio,4,Benedicimus Deum,376
communio,3,"Benedicite, omnes angeli",610
communio,2,Cantabo Domino,283
communio,2,Cantate Domino,222
